Technology,Country,Scenario,MAE,Future Predictions
CAES,United States,Medium,,"[15318.1994116565, 15829.999056532008, 16341.798701407519, 16853.598346283026, 17365.397991158534, 17877.19763603404, 18388.99728090955, 18900.796925785056, 19412.596570660564, 19924.39621553607, 20436.19586041158, 20947.99550528709, 21459.795150162598, 21971.594795038105, 22483.394439913613, 22995.19408478912, 23506.993729664628, 24018.793374540135, 24530.593019415643, 25042.39266429115, 25554.19230916666]"
CAES,China,Medium,,"[5043.207161894291, 5218.3983319139315, 5393.589501933573, 5568.780671953214, 5743.971841972854, 5919.163011992496, 6094.354182012136, 6269.545352031777, 6444.736522051418, 6619.92769207106, 6795.1188620907, 6970.310032110341, 7145.501202129983, 7320.692372149622, 7495.883542169264, 7671.074712188905, 7846.265882208545, 8021.4570522281865, 8196.648222247828, 8371.83939226747, 8547.03056228711]"
CAES,Brazil,Medium,,"[0.7554512292178287, 0.7803701321421347, 0.8052890350664409, 0.8302079379907469, 0.8551268409150529, 0.8800457438393591, 0.9049646467636651, 0.9298835496879713, 0.9548024526122773, 0.9797213555365832, 1.0046402584608893, 1.0295591613851953, 1.0544780643095018, 1.0793969672338077, 1.1043158701581137, 1.1292347730824197, 1.1541536760067257, 1.1790725789310317, 1.203991481855338, 1.228910384779644, 1.25382928770395]"
PHS,United Kingdom,Negative,,"[35049.323344043136, 35121.51731612334, 35193.71128820354, 35265.90526028375, 35338.09923236396, 35410.29320444416, 35482.487176524366, 35554.68114860457, 35626.875120684774, 35699.069092764985, 35771.26306484519, 35843.45703692539, 35915.651009005596, 35987.8449810858, 36060.038953166004, 36132.232925246215, 36204.42689732642, 36276.62086940662, 36348.81484148683, 36421.00881356704, 36493.20278564724]"
PHS,United States,Negative,,"[236817.23179210525, 235273.20440576482, 233729.1770194244, 232185.149633084, 230641.12224674356, 229097.09486040316, 227553.06747406273, 226009.0400877223, 224465.0127013819, 222920.9853150415, 221376.95792870107, 219832.93054236064, 218288.90315602024, 216744.8757696798, 215200.8483833394, 213656.82099699898, 212112.79361065855, 210568.76622431815, 209024.73883797775, 207480.71145163733, 205936.6840652969]"
PHS,China,Negative,,"[361156.9851701402, 361156.9876903717, 361156.99021060317, 361156.99273083464, 361156.99525106617, 361156.99777129764, 361157.0002915291, 361157.0028117606, 361157.00533199206, 361157.0078522235, 361157.01037245506, 361157.0128926865, 361157.015412918, 361157.0179331495, 361157.02045338094, 361157.0229736125, 361157.02549384395, 361157.0280140754, 361157.0305343069, 361157.03305453836, 361157.03557476983]"
PHS,Brazil,Negative,,"[2567.8224000000005, 2567.8224000000005, 2567.8224000000005, 2567.8224000000005, 2567.8224000000005, 2567.8224000000005, 2567.8224000000005, 2567.8224000000005, 2567.8224000000005, 2567.8224000000005, 2567.8224000000005, 2567.8224000000005, 2567.8224000000005, 2567.8224000000005, 2567.8224000000005, 2567.8224000000005, 2567.8224000000005, 2567.8224000000005, 2567.8224000000005, 2567.8224000000005, 2567.8224000000005]"
LiB,United Kingdom,Negative,,"[3779.0339427753443, 3912.5054935726484, 4045.9770443699526, 4179.448595167256, 4312.92014596456, 4446.391696761863, 4579.863247559168, 4713.334798356471, 4846.806349153775, 4980.277899951079, 5113.7494507483825, 5247.221001545687, 5380.69255234299, 5514.164103140294, 5647.635653937597, 5781.107204734902, 5914.578755532206, 6048.050306329509, 6181.521857126813, 6314.993407924117, 6448.464958721421]"
LiB,United States,Negative,,"[35855.36208406829, 37114.45221811995, 38373.54235217161, 39632.632486223265, 40891.72262027493, 42150.81275432659, 43409.902888378245, 44668.9930224299, 45928.08315648156, 47187.17329053322, 48446.263424584875, 49705.35355863653, 50964.44369268819, 52223.53382673985, 53482.623960791505, 54741.71409484316, 56000.804228894835, 57259.89436294649, 58518.98449699815, 59778.07463104981, 61037.164765101465]"
LiB,China,Negative,,"[33361.67881761958, 34530.69726136686, 35699.71570511415, 36868.734148861426, 38037.75259260871, 39206.771036355996, 40375.789480103274, 41544.80792385056, 42713.826367597845, 43882.84481134513, 45051.863255092416, 46220.881698839694, 47389.90014258698, 48558.918586334265, 49727.93703008154, 50896.95547382883, 52065.97391757611, 53234.99236132339, 54404.010805070684, 55573.02924881796, 56742.04769256524]"
LiB,Brazil,Negative,,"[197.4548054598436, 203.50439105329986, 209.55397664675615, 215.60356224021245, 221.6531478336687, 227.702733427125, 233.75231902058124, 239.80190461403754, 245.85149020749378, 251.90107580095008, 257.9506613944064, 264.0002469878626, 270.0498325813189, 276.09941817477517, 282.14900376823147, 288.19858936168777, 294.248174955144, 300.2977605486003, 306.34734614205655, 312.39693173551285, 318.44651732896915]"
CAES,United Kingdom,Negative,,"[13.383279587500553, 13.807321615656068, 14.231363643811584, 14.655405671967099, 15.079447700122614, 15.50348972827813, 15.927531756433645, 16.35157378458916, 16.775615812744675, 17.19965784090019, 17.623699869055706, 18.04774189721122, 18.471783925366736, 18.89582595352225, 19.31986798167777, 19.743910009833286, 20.1679520379888, 20.591994066144316, 21.01603609429983, 21.440078122455347, 21.864120150610862]"
CAES,United States,Negative,,"[14373.645569274637, 14853.886523348125, 15334.127477421613, 15814.3684314951, 16294.609385568589, 16774.85033964208, 17255.091293715566, 17735.332247789054, 18215.573201862542, 18695.81415593603, 19176.055110009518, 19656.296064083006, 20136.537018156494, 20616.777972229982, 21097.01892630347, 21577.259880376958, 22057.500834450446, 22537.741788523934, 23017.98274259742, 23498.22369667091, 23978.464650744398]"
CAES,China,Negative,,"[4837.277354658904, 5005.314925252125, 5173.352495845346, 5341.3900664385665, 5509.4276370317875, 5677.465207625008, 5845.502778218229, 6013.540348811449, 6181.57791940467, 6349.615489997891, 6517.653060591111, 6685.690631184331, 6853.728201777553, 7021.765772370773, 7189.803342963994, 7357.840913557214, 7525.878484150436, 7693.916054743656, 7861.953625336876, 8029.991195930098, 8198.028766523319]"
CAES,Brazil,Negative,,"[0.7203980806452065, 0.7441618871164912, 0.767925693587776, 0.7916895000590607, 0.8154533065303453, 0.8392171130016302, 0.8629809194729148, 0.8867447259441996, 0.9105085324154842, 0.9342723388867689, 0.9580361453580537, 0.9817999518293383, 1.0055637583006232, 1.0293275647719078, 1.0530913712431926, 1.0768551777144773, 1.1006189841857619, 1.1243827906570467, 1.1481465971283313, 1.1719104035996162, 1.1956742100709008]"
