Technology,Country,Year,mean,std
CAES,Brazil,2030,0.7578371027119726,0.03868717534327892
CAES,Brazil,2031,0.7828346489044816,0.039962057215004454
CAES,Brazil,2032,0.8078321950969909,0.04123693908673723
CAES,Brazil,2033,0.8328297412895002,0.042511820958476616
CAES,Brazil,2034,0.8578272874820092,0.04378670283022179
CAES,Brazil,2035,0.8828248336745185,0.04506158470197242
CAES,Brazil,2036,0.9078223798670276,0.04633646657372809
CAES,Brazil,2037,0.9328199260595369,0.04761134844548827
CAES,Brazil,2038,0.9578174722520459,0.048886230317252734
CAES,Brazil,2039,0.9828150184445552,0.050161112189021306
CAES,Brazil,2040,1.0078125646370644,0.05143599406079313
CAES,Brazil,2041,1.0328101108295735,0.05271087593256853
CAES,Brazil,2042,1.057807657022083,0.05398575780434703
CAES,Brazil,2043,1.082805203214592,0.05526063967612841
CAES,Brazil,2044,1.1078027494071012,0.056535521547912394
CAES,Brazil,2045,1.1328002955996104,0.057810403419699154
CAES,Brazil,2046,1.1577978417921193,0.059085285291488134
CAES,Brazil,2047,1.1827953879846287,0.06036016716327935
CAES,Brazil,2048,1.207792934177138,0.06163504903507266
CAES,Brazil,2049,1.2327904803696472,0.06290993090686789
CAES,Brazil,2050,1.2577880265621564,0.06418481277866495
CAES,China,2030,5157.766174683064,390.57871678244607
CAES,China,2031,5336.936901130539,404.1466587995438
CAES,China,2032,5516.107627578014,417.71460081664105
CAES,China,2033,5695.2783540254895,431.2825428337388
CAES,China,2034,5874.449080472964,444.85048485083547
CAES,China,2035,6053.619806920439,458.4184268679332
CAES,China,2036,6232.790533367915,471.9863688850304
CAES,China,2037,6411.96125981539,485.5543109021279
CAES,China,2038,6591.131986262865,499.1222529192254
CAES,China,2039,6770.3027127103405,512.6901949363223
CAES,China,2040,6949.473439157814,526.2581369534198
CAES,China,2041,7128.644165605289,539.8260789705175
CAES,China,2042,7307.8148920527665,553.3940209876143
CAES,China,2043,7486.98561850024,566.9619630047114
CAES,China,2044,7666.156344947715,580.529905021809
CAES,China,2045,7845.327071395191,594.0978470389077
CAES,China,2046,8024.497797842666,607.6657890560032
CAES,China,2047,8203.668524290142,621.2337310731028
CAES,China,2048,8382.839250737617,634.8016730901986
CAES,China,2049,8562.009977185093,648.3696151072952
CAES,China,2050,8741.180703632568,661.9375571243943
CAES,United Kingdom,2030,14.080085129629559,0.7200207027545222
CAES,United Kingdom,2031,14.526203207249248,0.7428321999790113
CAES,United Kingdom,2032,14.97232128486894,0.7656436972035059
CAES,United Kingdom,2033,15.418439362488627,0.788455194428008
CAES,United Kingdom,2034,15.86455744010832,0.8112666916525173
CAES,United Kingdom,2035,16.310675517728004,0.8340781888770313
CAES,United Kingdom,2036,16.756793595347695,0.8568896861015486
CAES,United Kingdom,2037,17.202911672967385,0.8797011833260707
CAES,United Kingdom,2038,17.649029750587072,0.9025126805506005
CAES,United Kingdom,2039,18.095147828206763,0.9253241777751345
CAES,United Kingdom,2040,18.541265905826453,0.9481356749996706
CAES,United Kingdom,2041,18.98738398344614,0.9709471722242089
CAES,United Kingdom,2042,19.43350206106583,0.9937586694487538
CAES,United Kingdom,2043,19.87962013868552,1.0165701666733018
CAES,United Kingdom,2044,20.32573821630521,1.0393816638978488
CAES,United Kingdom,2045,20.7718562939249,1.0621931611223994
CAES,United Kingdom,2046,21.21797437154459,1.0850046583469592
CAES,United Kingdom,2047,21.664092449164276,1.1078161555715147
CAES,United Kingdom,2048,22.11021052678397,1.1306276527960741
CAES,United Kingdom,2049,22.556328604403657,1.1534391500206354
CAES,United Kingdom,2050,23.002446682023347,1.1762506472452003
