Technology,Country,Year,Sample,Sample_GWh
CAES,Brazil,2030,0.757007165650252,0.000757007165650252
CAES,Brazil,2031,0.782750108303617,0.000782750108303617
CAES,Brazil,2032,0.8062582926824428,0.0008062582926824428
CAES,Brazil,2033,0.8314170829596336,0.0008314170829596336
CAES,Brazil,2034,0.8591034555004214,0.0008591034555004214
CAES,Brazil,2035,0.883288500899043,0.000883288500899043
CAES,Brazil,2036,0.9086864816653699,0.0009086864816653699
CAES,Brazil,2037,0.9336441936950214,0.0009336441936950214
CAES,Brazil,2038,0.9550334701824835,0.0009550334701824835
CAES,Brazil,2039,0.9803798411159651,0.000980379841115965
CAES,Brazil,2040,1.007050777791017,0.001007050777791017
CAES,Brazil,2041,1.0319838711715004,0.0010319838711715004
CAES,Brazil,2042,1.0567533365181356,0.0010567533365181355
CAES,Brazil,2043,1.0817691099524938,0.0010817691099524937
CAES,Brazil,2044,1.1083818123297655,0.0011083818123297656
CAES,Brazil,2045,1.1358254675070947,0.0011358254675070947
CAES,Brazil,2046,1.163211203362837,0.001163211203362837
CAES,Brazil,2047,1.1831487748826524,0.0011831487748826524
CAES,Brazil,2048,1.2094822502042721,0.0012094822502042722
CAES,Brazil,2049,1.2315283448499061,0.0012315283448499062
CAES,Brazil,2050,1.2587252703136063,0.0012587252703136062
CAES,China,2030,5144.319708912126,5.144319708912126
CAES,China,2031,5343.088837201853,5.343088837201853
CAES,China,2032,5506.953034382504,5.506953034382503
CAES,China,2033,5696.021875618152,5.696021875618152
CAES,China,2034,5875.918118174163,5.875918118174163
CAES,China,2035,6057.942577041213,6.057942577041213
CAES,China,2036,6224.003737677906,6.224003737677906
CAES,China,2037,6420.410572866416,6.420410572866416
CAES,China,2038,6560.526762564162,6.5605267625641615
CAES,China,2039,6757.190698910604,6.757190698910604
CAES,China,2040,6914.741843930763,6.914741843930763
CAES,China,2041,7146.460910135336,7.146460910135336
CAES,China,2042,7311.318343115801,7.3113183431158015
CAES,China,2043,7474.942762481349,7.474942762481349
CAES,China,2044,7668.731007286031,7.668731007286031
CAES,China,2045,7831.753313425207,7.8317533134252075
CAES,China,2046,8006.848132060309,8.006848132060309
CAES,China,2047,8210.83566380526,8.210835663805259
CAES,China,2048,8435.417973544188,8.435417973544189
CAES,China,2049,8570.904946578941,8.570904946578942
CAES,China,2050,8754.413218433629,8.754413218433628
CAES,United Kingdom,2030,14.079721851699292,0.01407972185169929
CAES,United Kingdom,2031,14.53412634015154,0.01453412634015154
CAES,United Kingdom,2032,14.95975505933563,0.014959755059335628
CAES,United Kingdom,2033,15.425603011050617,0.015425603011050617
CAES,United Kingdom,2034,15.878988971374728,0.015878988971374727
CAES,United Kingdom,2035,16.273623072445023,0.016273623072445023
CAES,United Kingdom,2036,16.73164790049937,0.016731647900499372
CAES,United Kingdom,2037,17.161479176496485,0.017161479176496484
CAES,United Kingdom,2038,17.648871916520786,0.017648871916520786
CAES,United Kingdom,2039,18.11181421039034,0.018111814210390337
CAES,United Kingdom,2040,18.53296559542123,0.01853296559542123
CAES,United Kingdom,2041,19.000163481076665,0.019000163481076665
CAES,United Kingdom,2042,19.38674162703562,0.01938674162703562
CAES,United Kingdom,2043,19.874240937652587,0.019874240937652585
CAES,United Kingdom,2044,20.306481115027317,0.02030648111502732
CAES,United Kingdom,2045,20.749169095583163,0.020749169095583164
CAES,United Kingdom,2046,21.232508702723504,0.021232508702723505
CAES,United Kingdom,2047,21.67088318363787,0.02167088318363787
CAES,United Kingdom,2048,22.042796449462692,0.022042796449462693
CAES,United Kingdom,2049,22.50073471147813,0.02250073471147813
CAES,United Kingdom,2050,23.036039602122337,0.023036039602122336
CAES,United States,2030,15553.709877940119,15.553709877940118
CAES,United States,2031,16121.794072442766,16.121794072442768
CAES,United States,2032,16650.734603675388,16.65073460367539
CAES,United States,2033,17210.84584533045,17.21084584533045
CAES,United States,2034,17671.23986332209,17.67123986332209
CAES,United States,2035,18119.529945654147,18.119529945654147
CAES,United States,2036,18725.630336712733,18.725630336712733
CAES,United States,2037,19226.01793666844,19.226017936668438
CAES,United States,2038,19763.052898736172,19.763052898736174
CAES,United States,2039,20300.6161422147,20.3006161422147
CAES,United States,2040,20871.843929341583,20.871843929341583
CAES,United States,2041,21313.140268750376,21.313140268750377
CAES,United States,2042,21901.98484457037,21.901984844570368
CAES,United States,2043,22432.31864551061,22.432318645510612
CAES,United States,2044,22991.82155196756,22.99182155196756
CAES,United States,2045,23441.60113846971,23.441601138469707
CAES,United States,2046,23855.31116811683,23.85531116811683
CAES,United States,2047,24565.101829806692,24.565101829806693
CAES,United States,2048,24978.047596344084,24.978047596344084
CAES,United States,2049,25543.370594017957,25.543370594017958
CAES,United States,2050,26030.29202707551,26.03029202707551
LiB,Brazil,2030,213.63877437414962,0.21363877437414963
LiB,Brazil,2031,219.15403992123166,0.21915403992123167
LiB,Brazil,2032,226.21329529203163,0.22621329529203163
LiB,Brazil,2033,232.37515494098042,0.23237515494098043
LiB,Brazil,2034,238.93246926578374,0.23893246926578374
LiB,Brazil,2035,245.56332507233816,0.24556332507233816
LiB,Brazil,2036,251.9249242421379,0.2519249242421379
LiB,Brazil,2037,258.4649692741087,0.25846496927410867
LiB,Brazil,2038,265.4263915529115,0.26542639155291153
LiB,Brazil,2039,271.6404525475723,0.2716404525475723
LiB,Brazil,2040,276.8950247861187,0.2768950247861187
LiB,Brazil,2041,284.80780555304307,0.2848078055530431
LiB,Brazil,2042,289.6482762940806,0.2896482762940806
LiB,Brazil,2043,295.831058436364,0.295831058436364
