Technology,Country,Year,mean,median,variance,std_dev,skewness,kurtosis,percentile_5,percentile_95
CAES,Brazil,2039,0.9803798411159651,0.9823164459744151,0.0025550304508142993,0.0505473090363305,-0.04519865554707744,-0.017328200568000884,0.8954440990633604,1.0626884275462098
CAES,Brazil,2040,1.007050777791017,1.0082254936253934,0.0026855030987708215,0.05182183997863084,-0.0588954499944935,0.094383666395085,0.9170523179402836,1.0924114591718717
CAES,Brazil,2041,1.0319838711715004,1.0342260017245615,0.0026282819792835727,0.05126677266303754,-0.08578498496505933,-0.12030322536123306,0.9485488756866847,1.113700903751654
CAES,Brazil,2042,1.0567533365181356,1.0571493716449378,0.002757183770920298,0.05250889230330705,0.06560709875009581,-0.15345511517281274,0.9719866039497179,1.1445198928443363
CAES,Brazil,2043,1.0817691099524938,1.0818914999758968,0.002938539374228828,0.054208296175298,-0.0501821443218851,-0.1599016188323894,0.993368118415555,1.1724776508467987
CAES,Brazil,2044,1.1083818123297655,1.1071584350736323,0.003031949818417902,0.055063143920574514,-0.040449684365038055,-0.08445105646251339,1.022018981953399,1.1985876406645795
CAES,Brazil,2045,1.1358254675070947,1.1353285918642242,0.003403572440299848,0.05834014432875401,-0.05242928492248286,0.4694604320524478,1.039889159697465,1.2288632827181176
CAES,Brazil,2046,1.163211203362837,1.1620135146614352,0.0035095133086081817,0.059241145402567814,0.052829389944478625,0.050201796162201884,1.0659655489639024,1.2558421422291937
CAES,Brazil,2047,1.1831487748826524,1.18417191061368,0.0036186021767662885,0.06015481840024362,0.06164931324919723,0.30943881562255093,1.0877137949504656,1.280126008734877
CAES,Brazil,2048,1.2094822502042721,1.2098491746837858,0.0035520873257301375,0.059599390313409564,-0.015948318402059423,0.02133740821561858,1.1076724926253967,1.3091597158833033
CAES,Brazil,2049,1.2315283448499061,1.2311739307561558,0.0038482022154400493,0.06203387957753448,-0.0950860818687027,0.03713885283010754,1.1221673086126243,1.3301178351703282
CAES,Brazil,2050,1.2587252703136063,1.2583188976277908,0.0037828793367656395,0.06150511634624911,0.009187375769684801,-0.23183977832480762,1.1628916221615369,1.3594718755657687
CAES,China,2030,5144.319708912126,5156.014322141849,146183.42165179458,382.3394063548702,-0.10772633626049022,-0.3805714286430293,4520.967260675154,5754.102919589124
CAES,China,2031,5343.088837201853,5343.735344557745,176148.62646112044,419.7006391002049,0.020109894633156194,0.00699527280569745,4665.659340459301,6042.750309658162
CAES,China,2032,5506.953034382504,5503.411458261688,161636.83476370035,402.0408371841104,-0.041073367162450324,0.0857868147014913,4844.518602909524,6174.324751238465
CAES,China,2033,5696.021875618152,5702.977887919633,188494.76828526208,434.1598418615684,0.05010390378645584,-0.0894535608020317,4982.575024690342,6402.480575031507
CAES,China,2034,5875.918118174163,5888.456525378802,192365.15294605764,438.5945199681109,-0.10332976701037042,-0.059282058399261484,5116.560436343142,6588.577067829308
CAES,China,2035,6057.942577041213,6069.595771954871,204036.4880898366,451.7039828137855,0.011874315844713445,-0.09847478821812095,5327.587453542898,6810.551191788325
CAES,China,2036,6224.003737677906,6210.051129158981,233301.27413198634,483.0127059736486,0.008521402448332906,0.014847893976425386,5445.942765906998,7033.964812904816
CAES,China,2037,6420.410572866416,6422.344351761007,246474.16285164942,496.4616428805446,0.14518196306869915,0.1612275075533982,5633.257808685046,7236.766196929808
CAES,China,2038,6560.526762564162,6570.34718692408,253991.43892434283,503.9756332644891,-0.12666412551861908,0.03791372803963977,5711.122877781493,7362.808819606287
CAES,China,2039,6757.190698910604,6747.872352959809,273160.9548795089,522.6480219799065,0.0678459923108061,-0.07030796340632062,5918.257551510937,7653.14526772432
CAES,China,2040,6914.741843930763,6905.788455764394,274698.0053152687,524.1164043561971,0.10413459900112093,-0.10056624680965376,6050.836149635816,7795.982421325378
CAES,China,2041,7146.460910135336,7137.048095984746,272403.8378407847,521.9232106745059,0.07638826177825259,-0.1771221755698238,6270.071612989707,8014.746935888137
CAES,China,2042,7311.318343115801,7301.579515974701,304602.76062692056,551.9082900509111,-0.10455041235936402,0.10580861713683598,6440.26113118085,8221.404638240472
CAES,China,2043,7474.942762481349,7493.883850824782,304124.07647836517,551.474456777796,-0.02968679903958936,-0.05229606076871196,6558.931048197878,8363.887351361624
CAES,China,2044,7668.731007286031,7637.722510762992,314412.31344205124,560.7248107958584,0.1698341907401027,0.21766156415827176,6785.385572962431,8575.508691827341
CAES,China,2045,7831.753313425207,7804.687875792804,351873.1988558665,593.1890076997942,0.11809123241900578,0.18617049512296102,6899.053003442005,8859.836315839406
CAES,China,2046,8006.848132060309,7997.568199087098,356321.66923283105,596.926854172964,0.06648544566543049,-0.21637322316260166,7032.762154880831,9014.853414769566
CAES,China,2047,8210.83566380526,8215.532816714862,402225.5776721274,634.2125650538054,-0.1026194739183877,-0.15594033426502962,7107.355815034336,9210.857551958892
CAES,China,2048,8435.417973544188,8411.505368051832,410867.5614670475,640.989517439285,0.08487196010885799,-0.10368651216349134,7406.191250661495,9505.222379819279
